Motor_Frequency_Cmd_Hz;X_Axis_High_Freq_RMS_Acc_G;Z_Axis_High_Freq_RMS_Acc_G;X_Axis_RMS_Velocity_mm_sec;Z_Axis_RMS_Velocity_mm_sec;time_local
0;0,01;0,01;0,13;0,19;2021-08-07 06:01:00
0;0,01;0,01;0,11;0,16;2021-08-07 06:31:00
0;0,01;0,01;0,13;0,14;2021-08-07 07:01:00
0;0,01;0,01;0,16;0,15;2021-08-07 07:31:00
0;0,01;0,01;0,12;0,13;2021-08-07 08:01:00
0;0,01;0,01;0,14;0,14;2021-08-07 08:31:00
0;0,01;0,01;0,12;0,12;2021-08-07 09:01:00
0;0,01;0,01;0,14;0,15;2021-08-07 09:31:00
0;0,01;0,01;0,14;0,1;2021-08-07 10:01:00
0;0,01;0,01;0,14;0,14;2021-08-07 10:31:00
0;0,01;0,01;0,13;0,17;2021-08-07 11:01:00
0;0,01;0,01;0,12;0,14;2021-08-07 11:31:00
0;0,01;0,01;0,12;0,14;2021-08-07 12:32:00
0;0,01;0,01;0,14;0,14;2021-08-07 13:02:00
0;0,01;0,01;0,14;0,12;2021-08-07 14:01:00
0;0,01;0,01;0,17;0,13;2021-08-07 14:31:00
0;0,01;0,01;0,1;0,1;2021-08-07 15:01:00
0;0,01;0,01;0,22;0,1;2021-08-07 15:31:00
0;0,01;0,01;0,14;0,14;2021-08-07 16:01:00
0;0,01;0,01;0,16;0,22;2021-08-07 16:31:00
0;0,01;0,01;0,13;0,13;2021-08-07 17:01:00
0;0,01;0,01;0,17;0,15;2021-08-07 17:31:00
0;0,01;0,01;0,1;0,16;2021-08-07 18:08:00
0;0,01;0,01;0,14;0,1;2021-08-07 18:32:00
0;0,01;0,01;0,11;0,15;2021-08-07 19:01:00
0;0,01;0,01;0,16;0,17;2021-08-07 19:31:00
0;0,01;0,01;0,13;0,1;2021-08-07 20:01:00
0;0,01;0,01;0,1;0,12;2021-08-07 20:31:00
0;0,01;0,01;0,16;0,15;2021-08-07 21:02:00
0;0,01;0,01;0,16;0,13;2021-08-07 21:31:00
0;0,01;0,01;0,1;0,15;2021-08-07 22:01:00
0;0,01;0,01;0,17;0,12;2021-08-07 22:31:00
0;0,01;0,01;0,14;0,1;2021-08-07 23:01:00
0;0,01;0,01;0,12;0,12;2021-08-07 23:32:00
